material,time,mass
drywall,0,0
drywall,62,0.91
drywall,62,0.84
drywall,180,1.11
drywall,180,1.32
drywall,180,2.22
drywall,390,1.47
drywall,990,1.86
drywall,1198,2.09
drywall,1337,2.37
drywall,2213,2.07
drywall,2368,2.73
paper,0,0.0375
paper,180,5.2583
paper,180,2.106
paper,390,3.512
paper,1066,7.1653
paper,1340,10.3118
paper,2155,11.7488
paper,2592,14.5173
paper,2992,13.9694
paper,4205,15.7503
cinderblock,60,7.2628
cinderblock,180,29.0123
cinderblock,180,24.9945
cinderblock,1051,114.0974
cinderblock,2548,117.5364
carpet,60,0.264
carpet,180,0.823
carpet,180,0.3072
carpet,180,0.5982
carpet,360,0.7502
carpet,1148,1.0451
carpet,1380,1.0394
wood,59,0.3371
wood,180,0.6348
wood,180,0.532
wood,1051,0.9933
wood,1380,1.0838
wood,1472,0.8852
soil,310,26.3947
soil,1080,30.2191
soil,2614,33.1549
