Location,x,y
SGP1,12.62,4.291
SGP2,12.85,2.690999999999999
SGP3,19.72,16.091
SGP4,16.37,11.501000000000001
SGP5,14.03,18.191000000000003
SGP6,11.66,19.891000000000002
SGP7,2.44,12.121
SGP8,11.85,11.211
SGP9,12.92,8.771
SGP10,13.07,15.151
SGP11,6.69,11.671000000000001
SGP12,6.71,7.371000000000002
MW1A,12.3,4.521000000000001
MW1B,12.8,3.9110000000000014
MW1C,13.05,4.521000000000001
MW2A,13.99,19.451
MW2B,13.52,19.771
MW2C,14.38,19.681
MW3,11.68,10.491
MW1,12.67,4.311
MW2,13.94,19.661
SSP1,11.69,11.401
SSP2,13.5,15.481
SSP3,6.53,11.531
SSP4,12.46,8.771
SSP5,6.23,7.871000000000002
SSP6,4.86,15.211
SSP7,6.23,11.241
WP1,10.93,16.671
WP2,15.19,11.981
WP3,11.22,5.721
WP4,3.34,11.981
