% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 27 2019, 13:04"
% Table,parametric_sweep {tbl12} - 
% K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads/c (1),alpha_ck (1),n_ck (ug/s),c_soil (ug/m^3),u_ck (cm/h),Pe (1)
5.28,-15,-15,7.267183592468993E-4,19.096705044290015,0.02665402315157494,0.3991740087490053,2.6774815152296704E-5,7708.799999999987,0.025354938591190052,0.010650947651369104,666.2770762992915,4.370541955009592,0.02689159636216096
5.28,-14,-14,6.922336262895354E-4,18.190515231636407,0.025372254619040104,0.40943645613234336,2.7463174428393273E-5,7708.799999999987,0.026006793966281482,0.010138752945768196,683.4065318459459,4.079153972813502,0.024603907269409916
5.28,-13,-13,6.560874008418204E-4,17.240664719321355,0.024031427292932974,0.41915439783288233,2.8115010687743392E-5,7708.799999999989,0.026624063151272123,0.0096029583462558,699.627131489129,3.7877686364342136,0.02241040575066988
5.28,-12,-12,6.18128027226664E-4,16.243168299462273,0.022626325829548734,0.42792903919359787,2.87035745604192E-5,7708.799999999989,0.027181415303427287,0.00904147980148747,714.273231343462,3.4963859457995476,0.020304257917859288
5.28,-11,-11,5.782219391029088E-4,15.194516115746234,0.02115201130629626,0.4352396880295142,2.9193940333076738E-5,7708.799999999987,0.027645776830565107,0.008452343717995794,726.4757235535892,3.205005900837331,0.018279322677582862
5.28,-10,-10,5.362629029226682E-4,14.091916563001872,0.019604831809952098,0.4404235917731551,2.954165351444913E-5,7708.799999999987,0.02797505067656167,0.007834090791256682,735.1283816786879,2.91362850147543,0.016329354694768275
5.28,-9,-9,4.922225496825341E-4,12.934624160557627,0.01798349164659959,0.44266016596747937,2.9691672952876743E-5,7708.799999999987,0.028117114538709003,0.007186203261981033,738.8615358481951,2.6222537476416705,0.014449530146127544
5.28,-8,-8,4.4615972030593887E-4,11.724185130199459,0.01629030467276398,0.44098230239621883,2.957912933533992E-5,7708.799999999987,0.02801053914331434,0.006509605747236338,736.0609476080143,2.3308816392639016,0.012634819085602983
5.28,-7,-7,3.9829877327380664E-4,10.466495164089089,0.014533822292477638,0.43432174719073985,2.9132368948817642E-5,7708.799999999987,0.027587470595471245,0.005807715388073932,724.9435523077933,2.0395121762699824,0.010880488195116975
5.28,-6,-6,3.490969840762128E-4,9.173570547554718,0.01273059735524239,0.42161123144992224,2.8279804147523816E-5,7708.799999999987,0.026780117563942978,0.005087146703154744,703.7279293452946,1.748145358587752,0.009182336924830585
5.28,-5,-5,2.9931556790902924E-4,7.865414493513468,0.010908385997099994,0.4019597921859647,2.6961673101321633E-5,7708.799999999987,0.02553188740655457,0.004358991044441059,670.9269372694412,1.456781186145071,0.007536850919983222
5.28,-4,-4,2.500567578228156E-4,6.570991482067946,0.009107293687632191,0.3749005779905332,2.514666149643374E-5,7708.799999999987,0.023813126417077404,0.003639274557577742,625.7613359879603,1.1654196588697976,0.005941061265389821
5.28,-3,-3,2.02736363474675E-4,5.327506159387508,0.0073790071141043925,0.34068779583662295,2.2851820404731433E-5,7708.799999999987,0.021639981443874474,0.0029486512427960485,568.6554323821331,0.8740607766897928,0.004392214026234854
5.28,-2,-2,1.5893408138972057E-4,4.176469790759076,0.00578095108243166,0.30052806258839243,2.015808431290332E-5,7708.799999999987,0.019089094993279643,0.0023100680525396386,501.6232382334026,0.5827045395329118,0.002887604333039246
5.28,-1,-1,1.2013485344846606E-4,3.1569036789187908,0.004366845653327673,0.2566005896290091,1.7211625017417106E-5,7708.799999999987,0.01629888732709952,0.0017449915230696982,428.3021611815212,0.29135094732702554,0.001424456226856175
5.28,0,0,8.7429492609996E-5,2.297472206805474,0.003175948300353681,0.2117535405483919,1.4203484650205635E-5,7708.799999999987,0.01345026955511898,0.0012691089408213025,353.4461833694162,0,0
5.28,1,1,6.127790890126385E-5,1.6102608901074111,0.002224528673501428,0.16892916280602188,1.1331016070255965E-5,7708.799999999987,0.010730128854409052,8.889216579311506E-4,281.9663260361609,-0.29134830252029503,-0.0013887327078172158
5.28,2,2,4.1447119923988916E-5,1.0891474173625804,0.0015036450587489565,0.13053656378698023,8.755811474213606E-6,7708.799999999987,0.008291488138459858,6.008565654760695E-4,217.88372530244786,-0.5826939603059875,-0.002745553639168744
5.28,3,3,2.7148914055397674E-5,0.7134191635477399,9.842802684910587E-4,0.09803620240283946,6.575831943055363E-6,7708.799999999987,0.006227113582438787,3.9331839528901824E-4,163.63609071932635,-0.8740369734292025,-0.0040757467872221355
5.28,4,4,1.7297285395842962E-5,0.45453806563196125,6.266995466086366E-4,0.07186952375852018,4.8206876488492415E-6,7708.799999999987,0.004565045122016331,2.504291388248055E-4,119.96025571634517,-1.1653773419620626,-0.005385693227372182
5.28,5,5,1.0769116928348771E-5,0.282990854643149,3.899212905199565E-4,0.05166888661056902,3.4657188539368034E-6,7708.799999999987,0.0032819307328946974,1.5581254769177105E-4,86.24257579900693,-1.4567150659766817,-0.0066821818090278765
5.28,6,6,6.581277118974333E-6,0.17294280013240748,2.3813465849619977E-4,0.036591807377231556,2.4544155108802806E-6,7708.799999999987,0.0023242571125760263,9.515860953507927E-5,61.07682840427275,-1.7480501455451891,-0.007973077844096439
5.28,7,7,3.964109043253435E-6,0.10416885743861376,1.4334216210301287E-4,0.025630240677219213,1.7191624239065135E-6,7708.799999999987,0.00162799471960844,5.727952797636265E-5,42.780445241870595,-2.0393825807396886,-0.00926808102225248
5.28,8,8,2.3616503590600485E-6,0.06205944813537994,8.534157979119045E-5,0.017816657134727177,1.1950620304893702E-6,7708.799999999987,0.0011316875288725102,3.4102495284558923E-5,29.7384848837118,-2.3307123716322993,-0.010578977712579481
5.28,9,9,1.3956791687065617E-6,0.036675657195271015,5.0402109193380564E-5,0.012326260554672105,8.267906743344892E-7,7708.799999999987,7.829457143319021E-4,2.0140682833674417E-5,20.574247481213725,-2.6220395182951264,-0.011920159503987946
5.28,10,10,8.201110485524899E-7,0.021550878133862323,2.959755134756863E-5,0.008506460988881725,5.705755274280452E-7,7708.799999999987,5.403177343068619E-4,1.1827181518488158E-5,14.198469422115684,-2.913364020800276,-0.013309471294794492
5.28,11,11,4.800372851076778E-7,0.012614419778059553,1.7313340175074922E-5,0.005866044358742583,3.9346813654709546E-7,7708.799999999987,3.7260240203323486E-4,6.918410733959783E-6,9.791245920629336,-3.204685879219858,-0.0147695761070395
5.28,12,12,2.8028837527982195E-7,0.007365417925603161,1.0102700879289973E-5,0.004047695176253431,2.715013697326521E-7,7708.799999999987,2.571035698225872E-4,4.037039271364181E-6,6.756167607797944,-3.496005093625961,-0.01633030765576233
5.28,13,13,1.6342627719755492E-7,0.004294515712197347,5.886887816934226E-6,0.002797548737749303,1.8764711301601014E-7,7708.799999999987,1.7769612975000954E-4,2.3524003716468633E-6,4.669498897570751,-3.787321664090714,-0.01803316925652886
5.28,14,14,9.522672057569365E-8,0.002502367763288077,3.428156013074165E-6,0.0019381160937075243,1.3000019794710528E-7,7708.799999999987,1.2310624805597086E-4,1.3698911428244054E-6,3.2349859864148036,-4.078635590686177,-0.01994185293797187
5.28,15,15,5.548147105690228E-8,0.0014579420964332776,1.9961620717549992E-6,0.0013466260105825072,9.032567682855471E-8,7708.799999999987,8.553567881491929E-5,7.976663638732798E-7,2.247706567898445,-4.369946873484466,-0.02219053152284115
0,-15,-15,7.267180974994319E-4,19.096698166090068,0.02665401657124065,0,0,0,0.025354934543328843,0.010650945021867524,666.2769699295948,4.370541955009592,0.026891598224627073
0,-14,-14,6.922333889296383E-4,18.19050899429303,0.02537224836846675,0,0,0,0.026006788390611373,0.010138750448039083,683.4063853284857,4.079153972813502,0.02460390882862601
0,-13,-13,6.560871953295376E-4,17.240659318869582,0.02403142129575843,0,0,0,0.026624056119811192,0.009602955949784851,699.6269467163986,3.7877686364342136,0.022410407265162302
0,-12,-12,6.181278510845256E-4,16.24316367079916,0.02262632039362075,0,0,0,0.027181406518704813,0.009041477629290647,714.2730004985236,3.4963859457995476,0.020304258921580397
0,-11,-11,5.782217943065825E-4,15.19451231078837,0.021152006706929138,0,0,0,0.027645766337090028,0.008452341880088693,726.4754478060505,3.205005900837331,0.01827932332867504
0,-10,-10,5.362627866195447E-4,14.091913506788392,0.019604828046384557,0,0,0,0.027975038776876154,0.007834089287335094,735.1280689787517,2.91362850147543,0.016329354765229443
0,-9,-9,4.922224595352349E-4,12.9346217916669,0.01798348876697191,0,0,0,0.02811710162402029,0.007186202111281813,738.8611964760038,2.6222537476416705,0.01444952979051906
0,-8,-8,4.4615965499691885E-4,11.724183414009032,0.016290302538651796,0,0,0,0.028010525617214996,0.0065096048944451096,736.060592169176,2.330881639263901,0.012634818671207766
0,-7,-7,3.982987316979233E-4,10.466494071558024,0.014533820953772281,0,0,0,0.027587456709855022,0.005807714853127271,724.9431874215701,2.0395121762699824,0.010880487912117756
0,-6,-6,3.490969640574967E-4,9.173570021502897,0.012730596721077223,0,0,0,0.026780103955909025,0.005087146449742343,703.7275717533771,1.7481453585877513,0.00918233680621009
0,-5,-5,2.9931556641077443E-4,7.865414454142329,0.010908386012122809,0,0,0,0.025531874689799207,0.004358991050444176,670.9266030985433,1.4567811861450712,0.007536851002021055
0,-4,-4,2.5005676870458053E-4,6.570991768018966,0.009107294191418617,0,0,0,0.023813115394711443,0.003639274758890797,625.7610463422261,1.1654196588697978,0.005941061522335587
0,-3,-3,2.0273637899116646E-4,5.327506567129871,0.007379007758334206,0,0,0,0.021639972469547835,0.002948651500230282,568.6551965547781,0.874060776689793,0.0043922143191506835
0,-2,-2,1.589340971848721E-4,4.176470205824068,0.005780951680597465,0,0,0,0.01908908816512553,0.002310068291566695,501.6230588031686,0.5827045395329118,0.0028876046172427367
0,-1,-1,1.2013486753396423E-4,3.1569040490575113,0.004366846173983137,0,0,0,0.01629888249961587,0.001744991731123622,428.30203432490543,0.2913509473270255,0.0014244564397001224
0,0,0,8.742950393808018E-5,2.2974725044848707,0.0031759487195161455,0,0,0,0.013450266441186673,0.0012691091083186228,353.44610154150365,0,0
0,1,1,6.127791700403862E-5,1.6102611030321266,0.0022245289685131164,0,0,0,0.01073012706983717,8.889217758178211E-4,281.96627914118096,-0.29134830252029503,-0.0013887330369676473
0,2,2,4.144712460949884E-5,1.0891475404884101,0.0015036452302856346,0,0,0,0.00829148730865334,6.00856634022126E-4,217.8837034967923,-0.5826939603059874,-0.0027455542117069635
0,3,3,2.7148915690284416E-5,0.7134192065092937,9.84280330043407E-4,0,0,0,0.006227113345802033,3.933184198853365E-4,163.63608450098573,-0.8740369734292025,-0.004075747223368582
0,4,4,1.7297285576063072E-5,0.4545380703677853,6.266995533944263E-4,0,0,0,0.004565045100336247,2.504291415364071E-4,119.9602551466358,-1.1653773419620626,-0.005385693320362795
0,5,5,1.0769116930506716E-5,0.2829908546998554,3.8992129059709304E-4,0,0,0,0.003281930732660207,1.5581254772259486E-4,86.24257579284482,-1.4567150659766817,-0.006682181810938692
0,6,6,6.5812771189743354E-6,0.17294280013240754,2.381346584961996E-4,0,0,0,0.0023242571125760268,9.515860953507922E-5,61.07682840427275,-1.748050145545189,-0.00797307784409644
0,7,7,3.9641090432534345E-6,0.10416885743861373,1.4334216210301287E-4,0,0,0,0.00162799471960844,5.727952797636265E-5,42.780445241870595,-2.039382580739689,-0.009268081022252479
0,8,8,2.361650359060049E-6,0.062059448135379953,8.534157979119044E-5,0,0,0,0.0011316875288725102,3.410249528455892E-5,29.7384848837118,-2.3307123716322993,-0.010578977712579481
0,9,9,1.395679168706562E-6,0.03667565719527102,5.04021091933806E-5,0,0,0,7.829457143319021E-4,2.014068283367443E-5,20.574247481213728,-2.6220395182951264,-0.011920159503987946
0,10,10,8.201110485524901E-7,0.02155087813386233,2.959755134756864E-5,0,0,0,5.403177343068619E-4,1.1827181518488161E-5,14.198469422115688,-2.9133640208002762,-0.013309471294794496
0,11,11,4.800372851076774E-7,0.012614419778059544,1.7313340175074932E-5,0,0,0,3.7260240203323465E-4,6.918410733959787E-6,9.791245920629331,-3.204685879219858,-0.014769576107039498
0,12,12,2.8028837527982216E-7,0.007365417925603165,1.0102700879289972E-5,0,0,0,2.5710356982258745E-4,4.0370392713641804E-6,6.756167607797949,-3.496005093625961,-0.016330307655762332
0,13,13,1.6342627719755487E-7,0.004294515712197346,5.886887816934225E-6,0,0,0,1.7769612975000943E-4,2.3524003716468633E-6,4.669498897570749,-3.787321664090714,-0.01803316925652886
0,14,14,9.522672057569355E-8,0.002502367763288075,3.428156013074166E-6,0,0,0,1.2310624805597078E-4,1.3698911428244056E-6,3.2349859864148005,-4.078635590686177,-0.01994185293797186
0,15,15,5.548147105690224E-8,0.0014579420964332768,1.9961620717549975E-6,0,0,0,8.55356788149192E-5,7.97666363873279E-7,2.247706567898443,-4.369946873484466,-0.02219053152284115
