% Model,ghost_cell_flux.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.275,,,,,,,,,,,,,,
% Date,"Nov 1 2019, 12:45",,,,,,,,,,,,,,
% Table,CPM_cycle_parametric_sweep_final {tbl33} - Pressure {gev21} (sw1(t)),,,,,,,,,,,,,,
t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
0,-5,1.40E-06,3.441209151,0.358818105,0,0,0,0,0.018994777,0.143383715,46755.84501,249572.3687,1.896852718,0.090215623,1.894955865
0.5,-5,1.40E-06,3.441167792,0.358813792,0,0,0,0,0.018994793,0.143381991,46755.88537,249572.5841,1.896852718,0.090215623,1.894955865
1,-5.006022144,1.40E-06,3.441694963,0.358868761,0,0,0,0,0.01899489,0.143403957,46756.12493,249573.8628,1.899581011,0.090345382,1.89768143
1.5,-5.220002944,1.41E-06,3.459101217,0.360683711,0,0,0,0,0.018999152,0.144129211,46766.61579,249629.8607,1.985129644,0.094414134,1.983144514
2,-5.932511744,1.43E-06,3.520407751,0.367074796,0,0,0,0,0.019020033,0.146683089,46818.01359,249904.2108,2.263385248,0.107648163,2.261121863
2.5,-7.198508544,1.48E-06,3.636345395,0.37916295,0,0,0,0,0.019070696,0.151513515,46942.72159,250569.8746,2.751315874,0.13085448,2.748564558
3,-8.885753344,1.54E-06,3.801450086,0.396379849,0,0,0,0,0.019157074,0.158393388,47155.34212,251704.796,3.397227905,0.161574501,3.393830677
3.5,-10.74680614,1.62E-06,3.997619059,0.416820368,0,0,0,0,0.019276397,0.166561419,47449.05666,253272.5793,4.10582096,0.195275675,4.101715139
4,-12.49102694,1.71E-06,4.197079437,0.4376067,0,0,0,0,0.019417953,0.174867637,47797.49897,255132.4874,4.764245489,0.2265908,4.759481244
4.5,-13.85657574,1.78E-06,4.370418814,0.455678898,0,0,0,0,0.019566687,0.182089288,48163.60881,257086.7008,5.275673787,0.250914682,5.270398114
5,-14.68241254,1.83E-06,4.494075473,0.468587368,0,0,0,0,0.01970703,0.187247512,48509.06571,258930.6734,5.580250676,0.265400569,5.574670426
5.5,-14.98029734,1.85E-06,4.562039612,0.475702812,0,0,0,0,0.01982717,0.190090844,48804.79163,260509.193,5.687724549,0.2705121,5.682036825
6,-15,1.87E-06,4.593703028,0.478998774,0,0,0,0,0.019924308,0.19140791,49043.89712,261785.4853,5.690727907,0.270654942,5.685037179
6.5,-15,1.87E-06,4.615162801,0.481230411,0,0,0,0,0.019999848,0.192299672,49229.84034,262778.0091,5.690655329,0.27065149,5.684964674
7,-15,1.88E-06,4.632033932,0.48298652,0,0,0,0,0.020061271,0.193001413,49381.03213,263585.0374,5.690799,0.270658323,5.685108201
7.5,-15,1.89E-06,4.646524453,0.48449746,0,0,0,0,0.020115076,0.193605185,49513.47435,264291.9847,5.690818253,0.270659239,5.685127435
8,-15,1.89E-06,4.65929298,0.485828848,0,0,0,0,0.020162931,0.194137207,49631.26879,264920.7454,5.690830264,0.27065981,5.685139434
8.5,-15,1.90E-06,4.669455802,0.486888534,0,0,0,0,0.020201781,0.194560658,49726.89837,265431.195,5.690831317,0.270659861,5.685140486
9,-15,1.90E-06,4.679618623,0.487948221,0,0,0,0,0.020240631,0.194984109,49822.52794,265941.6445,5.690832371,0.270659911,5.685141538
9.5,-15,1.91E-06,4.689781444,0.489007908,0,0,0,0,0.02027948,0.19540756,49918.15752,266452.094,5.690833424,0.270659961,5.68514259
10,-15,1.91E-06,4.699163293,0.489986163,0,0,0,0,0.020315512,0.195798471,50006.85047,266925.5175,5.690834167,0.270659996,5.685143333
10.5,-15,1.91E-06,4.706815813,0.490784099,0,0,0,0,0.020345304,0.196117326,50080.18351,267316.953,5.690834225,0.270659999,5.685143391
11,-15,1.92E-06,4.714468334,0.491582035,0,0,0,0,0.020375096,0.196436181,50153.51654,267708.3885,5.690834282,0.270660002,5.685143448
11.5,-15,1.92E-06,4.722120855,0.492379971,0,0,0,0,0.020404888,0.196755036,50226.84957,268099.824,5.69083434,0.270660004,5.685143505
12,-15,1.92E-06,4.729223402,0.493120561,0,0,0,0,0.020432613,0.197050976,50295.09549,268464.1057,5.690834385,0.270660006,5.68514355
12.5,-15,1.92E-06,4.734424125,0.493662845,0,0,0,0,0.020453192,0.197267673,50345.74999,268734.4882,5.690834386,0.270660006,5.685143552
13,-15,1.93E-06,4.739624849,0.494205129,0,0,0,0,0.020473771,0.197484369,50396.40448,269004.8707,5.690834388,0.270660007,5.685143554
13.5,-15,1.93E-06,4.744825572,0.494747413,0,0,0,0,0.020494349,0.197701066,50447.05898,269275.2532,5.69083439,0.270660007,5.685143555
14,-15,1.93E-06,4.750026295,0.495289697,0,0,0,0,0.020514928,0.197917763,50497.71348,269545.6357,5.690834391,0.270660007,5.685143557
14.5,-15,1.93E-06,4.755227019,0.495831981,0,0,0,0,0.020535506,0.19813446,50548.36798,269816.0183,5.690834393,0.270660007,5.685143558
15,-15,1.93E-06,4.760427742,0.496374265,0,0,0,0,0.020556085,0.198351156,50599.02248,270086.4008,5.690834394,0.270660007,5.68514356
15.5,-15,1.94E-06,4.765628465,0.496916549,0,0,0,0,0.020576664,0.198567853,50649.67698,270356.7833,5.690834396,0.270660007,5.685143562
16,-15,1.94E-06,4.77075957,0.497451573,0,0,0,0,0.020596974,0.198781649,50699.67029,270623.6366,5.690834398,0.270660007,5.685143563
16.5,-15,1.94E-06,4.774587897,0.497850757,0,0,0,0,0.020612257,0.198941162,50737.2909,270824.4471,5.690834398,0.270660007,5.685143563
17,-15,1.94E-06,4.778416223,0.49824994,0,0,0,0,0.020627541,0.199100676,50774.91152,271025.2576,5.690834398,0.270660007,5.685143563
17.5,-15,1.94E-06,4.78224455,0.498649123,0,0,0,0,0.020642824,0.19926019,50812.53213,271226.0681,5.690834398,0.270660007,5.685143563
18,-15,1.94E-06,4.786072877,0.499048306,0,0,0,0,0.020658108,0.199419703,50850.15274,271426.8786,5.690834398,0.270660007,5.685143563
18.5,-15,1.95E-06,4.789901204,0.49944749,0,0,0,0,0.020673391,0.199579217,50887.77335,271627.6891,5.690834398,0.270660007,5.685143563
19,-15,1.95E-06,4.793729531,0.499846673,0,0,0,0,0.020688675,0.19973873,50925.39397,271828.4997,5.690834398,0.270660007,5.685143563
19.5,-15,1.95E-06,4.797557858,0.500245856,0,0,0,0,0.020703958,0.199898244,50963.01458,272029.3102,5.690834398,0.270660007,5.685143564
20,-15,1.95E-06,4.801386185,0.500645039,0,0,0,0,0.020719242,0.200057758,51000.63519,272230.1207,5.690834398,0.270660007,5.685143564
