% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 13 2019, 14:39"
% Table,parametric_sweep_4 {tbl27} - 
% matsw.comp1.sw1,K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28,-15,-15,2.2570997071754864E-6,5.555875004390369,0.579316295919929,35.22916629227363,0.002364263039317528,4.535351602744578E8,7708.800000000016,0.02390135162123113,0.2314947918495986,58833.431957562556,314039.8589513558,6.271023961328831,0.29825422262492424,6.264752937367367
1,5.28,-14,-14,2.1638738466258565E-6,5.326398554261089,0.5553885713068489,34.60929706663066,0.0023226630228073575,4.4555505406732196E8,7708.800000000016,0.02348079916766588,0.22193327309421204,57798.23760732183,308514.2202639621,5.85292713352743,0.2783692492733904,5.847074206393776
1,5.28,-13,-13,2.0717275098686066E-6,5.099579363461407,0.5317379216155234,33.964451400315916,0.002279386813478888,4.3725340479756653E8,7708.800000000016,0.023043301360191584,0.21248247347755855,56721.33208768751,302765.93657155754,5.434834386774619,0.25848447001934094,5.429399552387727
1,5.28,-12,-12,1.980793597735858E-6,4.875744568807168,0.5083984577084663,33.29558315866809,0.0022344984261471633,4.286424923887545E8,7708.800000000016,0.02258950535209807,0.20315602370029875,55604.308373385626,296803.51082121616,5.016745720950811,0.23859988485708805,5.011728975229752
1,5.28,-11,-11,1.891205077017305E-6,4.655221469469484,0.4854043073771256,32.60378296263873,0.0021880710534272025,4.1973635733630824E8,7708.800000000016,0.02212015107900074,0.19396756122789519,54448.98782382586,290636.66502699075,4.598661135936415,0.21871549378094393,4.594062474800379
1,5.28,-10,-10,1.8030929201278332E-6,4.438332455444602,0.46278908652868445,31.89029703273603,0.002140188330369062,4.105510433016993E8,7708.800000000016,0.021636084043581114,0.1849305189768583,53257.451652877084,284276.5082486123,4.1805806316118455,0.19883129678522107,4.176400050980143
1,5.28,-9,-9,1.7165857446071477E-6,4.2253941201783976,0.4405858066585846,31.156515308266084,0.00209094353712877,4.011044441612895E8,7708.800000000016,0.02113824725504385,0.1760580883407666,52032.02108775538,277735.4306840214,3.7625042078575066,0.17894729386423142,3.758741703649568
1,5.28,-8,-8,1.6318084268741184E-6,4.0167138483079015,0.4188265190511336,30.40396367459497,0.0020404390773324337,3.9141620394123393E8,7708.800000000016,0.020627675955675648,0.16736307701282938,50775.244388391686,271027.03438162286,3.3444318645538265,0.159063485012288,3.341087432689201
1,5.28,-7,-7,1.5488816923023355E-6,3.812588806627914,0.3975422095666498,29.63428954773097,0.0019887855106437893,3.815075312354899E8,7708.800000000016,0.02010548784065422,0.1588578669428298,49489.872773387564,264166.0047383553,2.92636360158123,0.13917987022370373,2.9234372379795857
1,5.28,-6,-6,1.4679205525961945E-6,3.6133020976755685,0.3767623975721184,28.849260300983467,0.00193610144717574,3.714011789508532E8,7708.800000000016,0.019572881990609504,0.15055425406981526,48178.85779250396,257168.09647461819,2.508299418820139,0.11929644949279145,2.5057911194012648
1,5.28,-5,-5,1.3890331113564909E-6,3.419119819617302,0.3565148293728502,28.050754288330378,0.0018825129450600212,3.611213287430962E8,7708.800000000016,0.019031132781396044,0.14246332581738785,46845.33633549921,250050.05361476223,2.090239316150999,0.099413222813865,2.088149076834803
1,5.28,-4,-4,1.3123200965277464E-6,3.23028991536296,0.33682535820852416,27.24073536652661,0.0018281518006014726,3.506932630182997E8,7708.800000000016,0.018481572598527656,0.13459541314012333,45492.58808352782,242829.38237205488,1.6721832934542438,0.07953019018123776,1.6705111101607533
1,5.28,-3,-3,1.2378732039871143E-6,3.047038095292224,0.3177175191120591,26.421255898084034,0.0017731557498109312,3.401434035927804E8,7708.800000000016,0.0179255938745599,0.12695992063717607,44124.04052417761,235524.37791784242,1.2541313506103136,0.05964735158922341,1.252877219259676
1,5.28,-2,-2,1.1657747889911911E-6,2.8695670777476407,0.29921244971510075,25.59442781085974,0.0017176665261865035,3.2949893911844116E8,7708.800000000016,0.017364629454366065,0.11956529490615167,42743.220620387176,228153.86640091558,0.8360834874996607,0.03976470703213615,0.8352474040121429
1,5.28,-1,-1,1.0960974659931957E-6,2.6980556039803463,0.2813287875354944,24.76239320403169,0.0016618278880525066,3.1878744666837955E8,7708.800000000016,0.016800132652658006,0.11241898349918111,41353.70572182168,220736.9429232733,0.41803970400273727,0.019882256504290197,0.41762166429872544
1,5.28,0,0,1.0289008579990174E-6,2.5326504366553,0.2640818356539201,23.92730886644604,0.0016057845795709295,3.080366924283435E8,7708.800000000016,0.0162335667504046,0.1055271015273042,39959.09771019404,213292.8335335659,0,0,0
