% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 09:57"
% Table,sand_parametric_sweep_2 {tbl25} - 
% K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
0,-15,-15,7.172435209300402E-6,17.655025771913454,1.8409060906650248,0,0,0,0,0.007812644045048436,0.735626073829728,19230.90664984483,102650.33010789144,105.03203303615716,4.995395896601929,104.92700100311873
0,-14,-14,6.851936839108732E-6,16.8661156151158,1.7586456889301993,0,0,0,0,0.007911139513258435,0.7027548172964925,19473.35429543794,103944.46206470267,98.02941908498401,4.6623467497275115,97.93138966589692
0,-13,-13,6.519135324672436E-6,16.046921137529466,1.6732275126720282,0,0,0,0,0.007996817698540272,0.668621714063728,19684.252062388892,105070.1877411206,91.0268734875517,4.329300853804129,90.93584661406219
0,-12,-12,6.1741038886378315E-6,15.1976225774794,1.5846703555096473,0,0,0,0,0.008066814244298084,0.6332342740616413,19856.549306384477,105989.87235583291,84.024396241857,3.9962582087365064,83.94037184561333
0,-11,-11,5.816732232308551E-6,14.317948433547986,1.4929459077356826,0,0,0,0,0.008117394196395575,0.5965811847311658,19981.052397979533,106654.44234644134,77.0219873458968,3.663218814429375,76.94496535854924
0,-10,-10,5.4473473570952955E-6,13.40870362319561,1.3981380988484224,0,0,0,0,0.008144672613203426,0.5586959842998176,20048.198511915158,107012.85346487965,70.01964679766799,3.3301826707874644,69.9496271508688
0,-9,-9,5.066663872314436E-6,12.471647164876837,1.3004303433513837,0,0,0,0,0.008144599120411858,0.5196519652032018,20048.017608624752,107011.8878430911,63.01737459516777,2.997149777715521,62.95435722057124
0,-8,-8,4.675866409736647E-6,11.509695042330968,1.2001266936031052,0,0,0,0,0.008113179615473249,0.47957062676379053,19970.678162084725,106599.06696770285,56.0151707363932,2.6641201351182833,55.95915556565559
0,-7,-7,4.276677016583718E-6,10.527086093162518,1.097669137174961,0,0,0,0,0.008046813586232127,0.438628587215105,19807.31747321959,105727.08370950382,49.01303521934145,2.3310937429004954,48.96402218412105
0,-6,-6,3.871392847714726E-6,9.529474788559533,0.9936472710793862,0,0,0,0,0.007942727634003438,0.3970614495233141,19551.108791584047,104359.49838317117,42.01096804200985,1.9980706009669087,41.968957073966926
0,-5,-5,3.462853281417686E-6,8.523850288463963,0.8887898615765913,0,0,0,0,0.0077995990690271485,0.3551604286859982,19198.7963022252,102478.93216794751,35.00896920239569,1.665050709222273,34.973960233192535
0,-4,-4,3.054303649260402E-6,7.518201011146034,0.7839298685295916,0,0,0,0,0.007618323162236034,0.313258375464418,18752.583724093583,100097.14802861931,28.00703869849642,1.332034067571346,27.979031659797315
