% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
2,0,0,-5,3.4624464574883183E-6,8.522848887022466,0.8886854445093683,0,35.00896920239569,19196.53475794884
2,0,1,-5.5792,3.6539075260526108E-6,8.994132349498022,0.9378281450784728,0,39.173137276051314,19233.830030515965
2,0,2,-15,7.577762776578132E-6,18.652743902162452,1.944939110178919,0,105.03197104955395,20997.152141602724
2,0,3,-15,7.724846838301496E-6,19.01479288895518,1.9826902828823902,0,105.03203303550772,21307.352922350896
2,0,4,-15,7.782286293431668E-6,19.156180720431564,1.9974329246383038,0,105.03203303615706,21415.103045127373
2,0,5,-15,7.81168149380647E-6,19.228537319695747,2.004977615083435,0,105.03203303615705,21459.443858052942
2,0,6,-15,7.82876764153914E-6,19.270595054587776,2.0093630145341375,0,105.032033036157,21476.34491453715
2,0,7,-15,7.835422252203848E-6,19.28697544971984,2.0110710136928867,0,105.03203303615724,21470.67536132299
2,0,8,-15,7.838632392011086E-6,19.294877243096064,2.0118949410969797,0,105.03203303615719,21457.886598125155
2,0,9,-15,7.83906977750807E-6,19.29595387216223,2.012007202219161,0,105.03203303615715,21439.50951277212
2,0,10,-15,7.837308225903266E-6,19.29161779409755,2.01155507529383,0,105.0320330361571,21416.885855291726
2,0,11,-15,7.832668061592498E-6,19.280195980152648,2.0103641120446563,0,105.03203303615715,21389.673934931812
2,0,12,-15,7.827931124968471E-6,19.26853596012644,2.0091483108240364,0,105.03203303615719,21362.307767766913
2,0,13,-15,7.822776961661853E-6,19.25584893217072,2.007825422523683,0,105.03203303615715,21334.558625930564
2,0,14,-15,7.816678517138713E-6,19.240837545928425,2.0062601712054593,0,105.03203303615716,21305.94272316114
2,0,15,-15,7.810580072615572E-6,19.225826159686132,2.004694919887238,0,105.03203303615722,21277.32682039167
2,0,16,-15,7.804193792648746E-6,19.210106263429033,2.003055791565469,0,105.03203303615722,21249.96103087492
2,0,17,-15,7.797649377466683E-6,19.19399711565289,2.001376075622843,0,105.03203303615724,21223.28204672781
2,0,18,-15,7.791104962284617E-6,19.177887967876742,1.99969635968022,0,105.03203303615724,21196.60306258064
2,0,19,-15,7.784560547102554E-6,19.1617788201006,1.9980166437375944,0,105.03203303615719,21169.92407843349
2,0,20,-15,7.778016131920489E-6,19.145669672324455,1.9963369277949703,0,105.03203303615715,21143.24509428634
2,0,21,-15,7.77158511693468E-6,19.129839660340966,1.9946863176031622,0,105.03203303615715,21117.5682911149
2,0,22,-15,7.765391404717669E-6,19.114593771654043,1.9930966144951685,0,105.03203303615715,21093.988665269477
2,0,23,-15,7.759197692500656E-6,19.09934788296712,1.9915069113871726,0,105.03203303615713,21070.409039424125
2,0,24,-15,7.753003980283646E-6,19.0841019942802,1.9899172082791758,0,105.03203303615715,21046.82941357874
2,0,25,-15,7.746810268066633E-6,19.068856105593277,1.9883275051711802,0,105.03203303615715,21023.24978773342
2,0,26,-15,7.740618049034086E-6,19.05361389239584,1.986738185309918,0,105.03203303615715,20999.677311890115
2,0,27,-15,7.735582896281022E-6,19.04121981018711,1.9854458427372683,0,105.03203303615715,20981.645361363775
2,0,28,-15,7.730547743527959E-6,19.028825727978376,1.9841535001646202,0,105.03203303615715,20963.613410837483
2,0,29,-15,7.725512590774895E-6,19.01643164576965,1.9828611575919726,0,105.03203303615715,20945.581460311198
2,0,30,-15,7.720477438021832E-6,19.00403756356092,1.9815688150193231,0,105.03203303615715,20927.54950978486
2,0,31,-15,7.71544228526877E-6,18.99164348135219,1.9802764724466742,0,105.03203303615715,20909.517559258547
2,0,32,-15,7.710407132515705E-6,18.979249399143463,1.9789841298740258,0,105.03203303615719,20891.48560873221
2,0,33,-15,7.705371979762642E-6,18.96685531693473,1.9776917873013777,0,105.03203303615719,20873.453658205926
2,0,34,-15,7.700336827009578E-6,18.954461234726,1.9763994447287299,0,105.03203303615719,20855.421707679627
2,0,35,-15,7.695301674256515E-6,18.942067152517275,1.9751071021560807,0,105.03203303615719,20837.389757153334
2,0,36,-15,7.690266521503453E-6,18.929673070308546,1.9738147595834326,0,105.03203303615719,20819.357806627006
2,0,37,-15,7.685590083989497E-6,18.918161969487088,1.9726144863079205,0,105.03203303615719,20802.80641724741
2,0,38,-15,7.68155927375391E-6,18.90824008709787,1.9715799223283963,0,105.03203303615719,20788.919789660522
2,0,39,-15,7.677528463518323E-6,18.898318204708648,1.9705453583488743,0,105.03203303615719,20775.033162073614
2,0,40,-15,7.673497653282736E-6,18.88839632231943,1.969510794369351,0,105.03203303615715,20761.146534486732
2,0,41,-15,7.66946684304715E-6,18.87847443993021,1.9684762303898289,0,105.03203303615715,20747.25990689977
2,0,42,-15,7.665436032811562E-6,18.868552557540987,1.9674416664103047,0,105.03203303615715,20733.373279312837
2,0,43,-15,7.661405222575974E-6,18.858630675151762,1.9664071024307814,0,105.03203303615715,20719.486651725965
2,0,44,-15,7.657374412340387E-6,18.848708792762544,1.9653725384512584,0,105.03203303615715,20705.60002413901
2,0,45,-15,7.653343602104801E-6,18.838786910373326,1.9643379744717353,0,105.03203303615715,20691.713396552113
