% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 27 2019, 15:21"
% Table,time_to_equilibrium_3 {tbl21} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28,2,0,-5,1.4393268531679571E-6,3.5429184015404984,0.3694234246693356,27.298709444915463,0.0018310758798513282,3.512541873863523E8,7708.799999999987,0.018511133372924125,0.1476216004978632,45565.35224501251,243217.7813868501,1.456781186145071,0.06928551746695039
5.28,2,1,-5.5792,1.4523171079796552E-6,3.5748940523190327,0.3727575996716604,27.298710374615347,0.0018310759422114577,3.512541993488583E8,7708.799999999987,0.01851113400334951,0.14895393682879213,45565.35379681126,243217.7896700092,1.647909080687345,0.07837569188825258
5.28,2,2,-15,1.6111669430372298E-6,3.965904615672623,0.4135285670782058,27.2990189125432,0.0018310966375618667,3.512581693255103E8,7708.799999999987,0.018511343221545136,0.1652460154044473,45565.8687896314,243220.53858788149,4.373465050000654,0.20800501269155042
5.28,2,3,-15,1.6030838147137319E-6,3.9460079090862754,0.4114539715116454,27.299299826252327,0.0018311154800026844,3.5126178385962677E8,7708.799999999987,0.01851153370788099,0.16441700701604978,45566.33767377892,243223.0413878481,4.370505594850263,0.20786425896445315
5.28,2,4,-15,1.5986330316761583E-6,3.9350522591653583,0.4103116185775523,27.299582348117603,0.0018311344303114558,3.512654190859883E8,7708.799999999987,0.01851172528470036,0.1639605227835862,45566.80924216328,243225.55851567813,4.370539281763919,0.20786586113728925
5.28,2,5,-15,1.5947087848438662E-6,3.9253926837299984,0.4094410834528698,27.299866041278296,0.0018311534591855094,3.512690693834804E8,7708.799999999987,0.018511917655769962,0.16361265694776303,45567.282765602984,243228.08607916138,4.370541805688584,0.2078659811768862
5.28,2,6,-15,1.5931946518122356E-6,3.9216656291222582,0.40896650999280126,27.300150776675952,0.0018311725579681726,3.512727330915002E8,7708.799999999987,0.01851211073357577,0.1634230173931197,45567.7580286815,243230.62292845207,4.3705418931462265,0.20786598533643197
5.28,2,7,-15,1.5918048901755638E-6,3.9182447160298066,0.40855909263923307,27.300435782056628,0.001831191674860103,3.512764002734083E8,7708.799999999987,0.018512303994455952,0.16326021341863384,45568.233742399396,243233.1621831565,4.370541947783847,0.20786598793503488
5.28,2,8,-15,1.5905939718967482E-6,3.9152640277703363,0.40826334372308465,27.30072122870336,0.0018312108213501901,3.5128007313311404E8,7708.799999999987,0.018512497554556636,0.16314203215174095,45568.71019265181,243235.7053693196,4.370541953991004,0.20786598823025154
5.28,2,9,-15,1.589382896014495E-6,3.9122829515683235,0.40805599385015623,27.301006985805188,0.0018312299886642238,3.5128374998746485E8,7708.799999999987,0.018512691325175516,0.16305917514251875,45569.187161097034,243238.25132148093,4.370541952996718,0.20786598818296262
