% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,time_to_equilibrium_final {tbl31} - Pressure {gev21} (sw1(t))
% Switch 1 index,K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28,2,0,-5,1.398005391044924E-6,3.4412051817725007,0.35881769079210163,28.004144167801392,0.0018789166730238474,3.604314580361612E8,7708.799999999997,0.018994776521101535,0.14338354924052082,46755.84501299307,249572.36871075295,1.896852718212187,0.09021562290195252,1.8949558654939354
1,5.28,2,1,-5.5792,1.412953407366023E-6,3.4779998833887356,0.36265404952231156,28.004145117589044,0.0018789167367491279,3.604314702605429E8,7708.799999999997,0.018994777165327756,0.1449165581891127,46755.84659876282,249572.37717524177,2.1432402247346363,0.10193398256307153,2.141096984509857
1,5.28,2,2,-15,1.5923964487916112E-6,3.9197008438730205,0.4087123142179062,28.004321041751723,0.0018789285402465137,3.604337345183642E8,7708.799999999999,0.01899489649195797,0.16332144076147195,46756.14032253588,249573.94500783572,5.694312014499239,0.27082540486870593,5.6886177024846205
1,5.28,2,3,-15,1.5803151222571564E-6,3.8899625297439333,0.4056100404718489,28.00457681993386,0.0018789457014883669,3.604370265490925E8,7708.799999999997,0.018995069982330675,0.16208177217254743,46756.56737093873,249576.22449784275,5.690796006157727,0.2706581810881707,5.685105210151451
1,5.28,2,4,-15,1.5756798528839754E-6,3.8785527647401095,0.40442033342105554,28.004837010922117,0.0018789631588040812,3.604403753754913E8,7708.799999999997,0.018995246465841296,0.16160636523505043,46757.001786982604,249578.5433146886,5.690829649742483,0.27065978120025436,5.685138820092622
1,5.28,2,5,-15,1.5728619790488239E-6,3.8716165382382526,0.40369708652973246,28.00509845306233,0.0018789807000648814,3.604437403050255E8,7708.799999999997,0.018995423797988867,0.16131735577727774,46757.438291955375,249580.87328177586,5.690833623233774,0.2706599701822394,5.685142789610422
1,5.28,2,6,-15,1.5720525741830244E-6,3.8696241795276336,0.40348934140067316,28.005360750236022,0.0018789982986934961,3.6044711623939383E8,7708.799999999997,0.018995601710092385,0.16123434082370566,46757.876224495914,249583.2108689041,5.690834069453686,0.270659991404766,5.685143235384114
1,5.28,2,7,-15,1.5714106268434632E-6,3.868044019304022,0.4033245766051343,28.005623118698697,0.001879015902105195,3.6045049309129757E8,7708.799999999999,0.018995779670550134,0.16116850081140832,46758.31427606083,249585.54909135826,5.690834221584802,0.2706599986402267,5.685143387363098
1,5.28,2,8,-15,1.5707686795039023E-6,3.8664638590804112,0.40315981180790056,28.0058854871614,0.0018790335055168907,3.604538699432016E8,7708.799999999997,0.018995957631007906,0.16110266079843372,46758.75232762587,249587.88731381288,5.690834373715919,0.2706600058756876,5.685143539342085
1,5.28,2,9,-15,1.5711893725548778E-6,3.8674993995126776,0.40326778857805434,28.006146444763846,0.001879051014267995,3.6045722863642114E8,7708.799999999997,0.018996134634501,0.16114580831578715,46759.1880236121,249590.21296270864,5.690834382858004,0.2706600063104914,5.685143548475027
1,5.28,2,10,-15,1.571655943235468E-6,3.86864786821959,0.40338754048568004,28.006407341454864,0.0018790685189322956,3.6046058654567116E8,7708.799999999997,0.018996311596678868,0.16119366117807443,46759.62361790044,249592.53806876336,5.690834385826754,0.2706600064516872,5.685143551440809
1,5.28,2,11,-15,1.5721225139160579E-6,3.869796336926502,0.4035072923933376,28.006668238145846,0.0018790860235965942,3.604639444549207E8,7708.799999999999,0.01899648855885671,0.16124151404037435,46760.05921218878,249594.86317481814,5.690834388795499,0.27066000659288275,5.685143554406586
1,5.28,2,12,-15,1.572589084596648E-6,3.8709448056334144,0.40362704430102625,28.006929134836824,0.0018791035282608945,3.604673023641703E8,7708.799999999997,0.018996665521034562,0.16128936690268675,46760.494806477065,249597.1882808727,5.690834391764262,0.27066000673407914,5.6851435573723785
1,5.28,2,13,-15,1.573055655277238E-6,3.872093274340326,0.4037467962087468,28.007190031527823,0.0018791210329251959,3.604706602734201E8,7708.799999999997,0.01899684248321239,0.16133721976501186,46760.93040076536,249599.51338692775,5.690834394733013,0.2706600068752751,5.685143560338162
1,5.28,2,14,-15,1.5735313804999239E-6,3.8732642770502537,0.40386889775815127,28.00745078658499,0.0018791385280866825,3.604740163597508E8,7708.799999999999,0.0189970193493222,0.16138601154415388,46761.36575858126,249601.83723074457,5.690834397614262,0.27066000701230924,5.6851435632165295
1,5.28,2,15,-15,1.5743055737571218E-6,3.8751699620107187,0.40406760531567626,28.007706923916224,0.0018791557134253654,3.6047731301296043E8,7708.799999999997,0.018997193083300137,0.16146541508414086,46761.793406620964,249604.11992148036,5.690834397643519,0.2706600070137007,5.685143563245757
1,5.28,2,16,-15,1.57507976701432E-6,3.877075646971184,0.4042663128732014,28.007963061247324,0.0018791728987640503,3.6048060966616833E8,7708.799999999999,0.018997366817278063,0.16154481862412792,46762.22105466075,249606.402612216,5.690834397672776,0.27066000701509224,5.685143563274985
1,5.28,2,17,-15,1.5758539602715184E-6,3.8789813319316493,0.40446502043072663,28.008219198578516,0.0018791900841027367,3.604839063193774E8,7708.799999999997,0.018997540551255975,0.16162422216411498,46762.64870270049,249608.6853029519,5.690834397702025,0.2706600070164833,5.685143563304205
1,5.28,2,18,-15,1.5766281535287167E-6,3.8808870168921152,0.40466372798825395,28.008475335909697,0.0018792072694414224,3.604872029725864E8,7708.799999999997,0.018997714285233856,0.1617036257041029,46763.07635074024,249610.96799368787,5.690834397731278,0.27066000701787457,5.685143563333429
1,5.28,2,19,-15,1.5774023467859148E-6,3.8827927018525803,0.40486243554578044,28.008731473240868,0.0018792244547801095,3.6049049962579525E8,7708.799999999997,0.018997888019211786,0.16178302924409052,46763.50399877998,249613.25068442366,5.690834397760526,0.2706600070192656,5.685143563362647
1,5.28,2,20,-15,1.5781765400431127E-6,3.884698386813045,0.4050611431033081,28.008987610572042,0.001879241640118791,3.604937962790041E8,7708.799999999997,0.01899806175318969,0.16186243278407852,46763.93164681971,249615.53337515928,5.6908343977897795,0.27066000702065696,5.685143563391871
1,5.28,2,21,-15,1.5789507333003112E-6,3.886604071773511,0.40525985066083564,28.00924374790319,0.00187925882545748,3.6049709293221265E8,7708.799999999997,0.018998235487167614,0.16194183632406656,46764.35929485954,249617.8160658951,5.690834397819041,0.2706600070220487,5.685143563421104
1,5.28,2,22,-15,1.5797249265575093E-6,3.888509756733976,0.4054585582183639,28.009499885234366,0.001879276010796165,3.605003895854215E8,7708.799999999997,0.01899840922114552,0.16202123986405484,46764.786942899256,249620.09875663076,5.690834397848284,0.27066000702343945,5.685143563450317
1,5.28,2,23,-15,1.5804991198147077E-6,3.8904154416944414,0.4056572657758924,28.00975602256555,0.0018792931961348486,3.605036862386306E8,7708.799999999997,0.01899858295512344,0.1621006434040432,46765.21459093898,249622.38144736664,5.690834397877535,0.2706600070248307,5.6851435634795395
1,5.28,2,24,-15,1.5812733130719058E-6,3.892321126654907,0.4058559733334215,28.01001215989673,0.0018793103814735348,3.605069828918395E8,7708.799999999997,0.018998756689101354,0.16218004694403182,46765.642238978755,249624.66413810276,5.690834397906787,0.27066000702622195,5.685143563508762
1,5.28,2,25,-15,1.5820475063291039E-6,3.894226811615372,0.4060546808909516,28.010268297227885,0.0018793275668122227,3.605102795450482E8,7708.799999999999,0.01899893042307926,0.16225945048402085,46766.06988701851,249626.94682883838,5.690834397936042,0.27066000702761334,5.685143563537988
1,5.28,2,26,-15,1.5828184853204156E-6,3.896124584626073,0.4062525634620731,28.01052363721933,0.0018793446986540064,3.605135659359787E8,7708.799999999997,0.018999103616234032,0.16233852435944102,46766.49620381622,249629.22241369862,5.690834397960211,0.2706600070287628,5.685143563562132
1,5.28,2,27,-15,1.5835739964079832E-6,3.8979842832267204,0.40644647597882805,28.01077514019955,0.001879361573054454,3.6051680294209176E8,7708.799999999997,0.018999274206803543,0.16241601180113632,46766.91611432282,249631.46380319184,5.690834397960578,0.2706600070287803,5.6851435635625
1,5.28,2,28,-15,1.584329507495551E-6,3.8998439818273685,0.4066403884955816,28.011026643179743,0.0018793784474548983,3.6052003994820446E8,7708.799999999997,0.018999444797373106,0.16249349924283102,46767.336024829405,249633.70519268521,5.6908343979608755,0.27066000702879445,5.685143563562797
1,5.28,2,29,-15,1.5850850185831184E-6,3.9017036804280156,0.40683430101233503,28.01127814615996,0.0018793953218553426,3.6052327695431745E8,7708.799999999997,0.01899961538794266,0.16257098668452571,46767.75593533591,249635.94658217844,5.6908343979611615,0.270660007028808,5.685143563563082
1,5.28,2,30,-15,1.5858405296706859E-6,3.9035633790286637,0.40702821352908813,28.011529649140176,0.001879412196255787,3.605265139604304E8,7708.799999999997,0.018999785978512207,0.16264847412622022,46768.17584584246,249638.1879716725,5.690834397961449,0.2706600070288217,5.685143563563369
1,5.28,2,31,-15,1.5865960407582535E-6,3.9054230776293113,0.4072221260458414,28.01178115212036,0.0018794290706562354,3.605297509665429E8,7708.799999999997,0.01899995656908176,0.16272596156791486,46768.59575634899,249640.42936116527,5.690834397961743,0.2706600070288357,5.685143563563663
1,5.28,2,32,-15,1.5873515518458208E-6,3.9072827762299585,0.4074160385625955,28.01203265510057,0.0018794459450566803,3.6053298797265583E8,7708.799999999997,0.01900012715965132,0.16280344900960977,46769.015666855514,249642.6707506587,5.690834397962028,0.27066000702884924,5.6851435635639485
1,5.28,2,33,-15,1.5881070629333887E-6,3.9091424748306065,0.40760995107934905,28.012284158080796,0.0018794628194571269,3.6053622497876894E8,7708.799999999999,0.01900029775022088,0.1628809364513045,46769.43557736204,249644.912140152,5.690834397962316,0.27066000702886295,5.685143563564235
1,5.28,2,34,-15,1.5888625740209564E-6,3.9110021734312546,0.407803863596102,28.012535661060973,0.0018794796938575715,3.605394619848814E8,7708.799999999997,0.01900046834079044,0.16295842389299897,46769.8554878686,249647.15352964544,5.6908343979626155,0.27066000702887716,5.685143563564535
1,5.28,2,35,-15,1.589618085108524E-6,3.912861872031902,0.40799777611285626,28.01278716404119,0.0018794965682580175,3.6054269899099433E8,7708.799999999997,0.019000638931359986,0.16303591133469394,46770.27539837513,249649.3949191388,5.6908343979629015,0.27066000702889076,5.685143563564821
1,5.28,2,36,-15,1.5903735961960913E-6,3.914721570632549,0.40819168862960964,28.013038667021416,0.0018795134426584626,3.6054593599710745E8,7708.799999999997,0.019000809521929556,0.1631133987763886,46770.69530888173,249651.6363086319,5.690834397963185,0.2706600070289042,5.685143563565103
1,5.28,2,37,-15,1.5911291072836588E-6,3.9165812692331965,0.40838560114636235,28.013290170001596,0.0018795303170589114,3.6054917300321996E8,7708.799999999999,0.019000980112499084,0.163190886218083,46771.115219388244,249653.87769812564,5.69083439796347,0.2706600070289178,5.685143563565388
1,5.28,2,38,-15,1.5918490624762185E-6,3.918353446619028,0.4085703877439848,28.01353995193766,0.0018795470759872112,3.6055238785838103E8,7708.799999999999,0.019001149535711095,0.16326472694249294,46771.532256431725,249656.10374970787,5.690834397963676,0.2706600070289276,5.685143563565595
1,5.28,2,39,-15,1.5924914610120722E-6,3.9199347174671257,0.4087352683379178,28.01378597982863,0.001879563583040725,3.605555543965522E8,7708.799999999997,0.01900131641261255,0.16333061322782857,46771.94302570465,249658.29634531608,5.690834397963682,0.2706600070289279,5.6851435635656005
1,5.28,2,40,-15,1.5931338595479254E-6,3.921515988315223,0.4089001489318509,28.014032007719596,0.001879580090094237,3.605587209347233E8,7708.799999999999,0.019001483289514034,0.16339649951316423,46772.3537949776,249660.48894092478,5.690834397963691,0.2706600070289283,5.6851435635656085
1,5.28,2,41,-15,1.5937762580837787E-6,3.923097259163319,0.40906502952578355,28.01427803561054,0.001879596597147749,3.6056188747289425E8,7708.799999999999,0.01900165016641548,0.16346238579849973,46772.764564250516,249662.68153653276,5.690834397963695,0.2706600070289285,5.685143563565613
1,5.28,2,42,-15,1.5944186566196324E-6,3.924678530011417,0.4092299101197157,28.014524063501547,0.0018796131042012611,3.6056505401106596E8,7708.799999999997,0.01900181704331693,0.16352827208383502,46773.17533352352,249664.87413214135,5.6908343979637035,0.2706600070289289,5.685143563565622
1,5.28,2,43,-15,1.5950610551554857E-6,3.9262598008595138,0.4093947907136486,28.014770091392524,0.0018796296112547767,3.6056822054923725E8,7708.799999999997,0.01900198392021842,0.1635941583691706,46773.58610279637,249667.0667277496,5.690834397963715,0.27066000702892945,5.685143563565633
1,5.28,2,44,-15,1.5957034536913394E-6,3.9278410717076113,0.4095596713075828,28.015016119283462,0.0018796461183082905,3.6057138708740807E8,7708.799999999997,0.019002150797119862,0.16366004465450668,46773.996872069365,249669.25932335778,5.690834397963731,0.2706600070289302,5.685143563565649
1,5.28,2,45,-15,1.5963458522271926E-6,3.929422342555708,0.40972455190151513,28.015262147174457,0.001879662625361803,3.605745536255796E8,7708.799999999997,0.01900231767402134,0.16372593093984203,46774.40764134232,249671.4519189667,5.690834397963746,0.2706600070289309,5.6851435635656635
