% Model,ghost_cell_flux.mph,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.275,,,,,,,,,,,,,
% Date,"Sep 9 2019, 10:42",,,,,,,,,,,,,
% Table,transient_parametric_sweep {tbl16} - Pressure {gev28} (sw1(t)),,,,,,,,,,,,,
t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
0,-5,1.44E-06,3.543078886,0.369440157,0,0,0,0,0.018513157,0.147628287,45570.33321,243244.3687,1.456781186,0.069285517
1,-5.006022144,1.44E-06,3.543854924,0.369521075,0,0,0,0,0.018513165,0.147660622,45570.35409,243244.4802,1.459198578,0.06940049
2,-5.932511744,1.47E-06,3.619042175,0.377360793,0,0,0,0,0.018541238,0.150793373,45639.45584,243613.33,1.738685823,0.082693096
3,-8.885753344,1.58E-06,3.893147484,0.405939717,0,0,0,0,0.018693254,0.162213511,46013.64521,245610.6701,2.609542943,0.124111661
4,-12.49102694,1.74E-06,4.287391413,0.447045217,0,0,0,0,0.018988321,0.178639269,46739.9553,249487.5529,3.658415008,0.17399674
5,-14.68241254,1.87E-06,4.59183805,0.478794647,0,0,0,0,0.019312376,0.191326341,47537.62033,253745.3126,4.286323923,0.203860521
6,-15,1.91E-06,4.701679656,0.490256982,0,0,0,0,0.019554477,0.19590669,48133.55288,256926.2688,4.37217887,0.207943841
7,-15,1.93E-06,4.745587434,0.494826826,0,0,0,0,0.019707281,0.1977328,48509.68319,258933.9694,4.370534057,0.207865613
8,-15,1.94E-06,4.777255931,0.498128949,0,0,0,0,0.01982167,0.199052328,48791.2526,260436.9246,4.370541259,0.207865955
9,-15,1.95E-06,4.800339451,0.500535895,0,0,0,0,0.019907231,0.200014144,49001.86109,261561.1062,4.370541775,0.20786598
10,-15,1.96E-06,4.822261502,0.502821728,0,0,0,0,0.019988852,0.200927563,49202.77304,262633.5298,4.370541932,0.207865987
11,-15,1.96E-06,4.836840581,0.504341902,0,0,0,0,0.02004427,0.201535024,49339.18488,263361.666,4.370541941,0.207865988
12,-15,1.97E-06,4.851193547,0.5058385,0,0,0,0,0.020098881,0.202133064,49473.61056,264079.2006,4.370541946,0.207865988
13,-15,1.98E-06,4.865546514,0.507335097,0,0,0,0,0.020153492,0.202731105,49608.03624,264796.7352,4.370541951,0.207865988
14,-15,1.98E-06,4.879124576,0.508750894,0,0,0,0,0.020205246,0.203296857,49735.42791,265476.7238,4.370541954,0.207865988
15,-15,1.99E-06,4.889434465,0.509825916,0,0,0,0,0.020244947,0.203726436,49833.15353,265998.3616,4.370541955,0.207865988
16,-15,1.99E-06,4.899744354,0.510900938,0,0,0,0,0.020284649,0.204156015,49930.87915,266519.9993,4.370541955,0.207865988
17,-15,1.99E-06,4.910054243,0.51197596,0,0,0,0,0.02032435,0.204585593,50028.60477,267041.6371,4.370541955,0.207865988
18,-15,2.00E-06,4.919772708,0.512989313,0,0,0,0,0.020361846,0.20499053,50120.90227,267534.3008,4.370541955,0.207865988
19,-15,2.00E-06,4.928651261,0.513915088,0,0,0,0,0.020396211,0.205360469,50205.491,267985.8167,4.370541955,0.207865988
