% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 23 2019, 17:08"
% Table,transient_parametric_sweep_2 {tbl20} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28,0,-5,1.4393948562813883E-6,3.543085791929559,0.36944087753687477,27.301693595761463,0.001831276043402907,3.512925846403531E8,7708.799999999987,0.01851315691233088,0.1476285746637318,45570.33320884615,243244.36867111546,1.4567811861450712,0.0692855174669504
5.28,1,-5.006022144,1.440460277527659E-6,3.545708337691487,0.3697143306176213,27.301693456524784,0.0018312760340635295,3.512925828487861E8,7708.799999999987,0.018513156817915117,0.14773784651479813,45570.33297644068,243244.3674305866,1.459367681190845,0.06940853295436643
5.28,2,-5.932511744,1.4582399962180431E-6,3.589473304893849,0.374277698008026,27.301702158572667,0.0018312766177581497,3.5129269481857586E8,7708.799999999987,0.01851316271873505,0.14956136812400384,45570.347501371885,243244.4449614597,1.738781962722694,0.08269766880243364
5.28,3,-8.885753344000001,1.5102378491898463E-6,3.7174665746149844,0.3876241310405295,27.301766673668222,0.0018312809451435034,3.5129352493831134E8,7708.799999999987,0.018513206466134174,0.15489460276379208,45570.45518606154,243245.01975853698,2.6094538227715467,0.12410742267702109
5.28,4,-12.491026944000001,1.5694049517638533E-6,3.863107028702186,0.4028106165020194,27.30192935201652,0.0018312918568827701,3.5129561813070756E8,7708.799999999987,0.018513316777598095,0.1609631223542033,45570.726718906626,243246.46914086168,3.657892407711468,0.17397188453357734
5.28,5,-14.682412544000002,1.6006744406709935E-6,3.9400772091806746,0.41083561329193724,27.302173231912143,0.001831308215260274,3.5129875614844906E8,7708.799999999987,0.0185134821514699,0.16416991107145443,45571.13378845594,243248.6419881625,4.285977410836787,0.20384404026200484
5.28,6,-15,1.6000814320143406E-6,3.9386175120470437,0.41068311835099053,27.302449483567724,0.0018313267449912964,3.513023106956335E8,7708.799999999987,0.018513669476488002,0.1641089740930521,45571.59489098608,243251.1032515755,4.370670177205487,0.20787208661472492
5.28,7,-15,1.5966490243252366E-6,3.9301686039088053,0.409802365377763,27.302731221566646,0.0018313456427218034,3.5130593583593786E8,7708.799999999987,0.01851386052177109,0.16375702520495042,45572.06515098818,243253.6133955505,4.370515262976216,0.2078647187871884
5.28,8,-15,1.5943910749948958E-6,3.9246106375479304,0.4092228309819143,27.30301457511141,0.0018313646488159292,3.513095817635708E8,7708.799999999987,0.01851405266254861,0.16352544326036925,45572.538107561515,243256.1379332261,4.370539000947193,0.2078658477814522
5.28,9,-15,1.5931313444771881E-6,3.921509797441776,0.4088995034685601,27.303299160995767,0.0018313837375699123,3.513132435477937E8,7708.799999999987,0.018514245638970177,0.16339624158603291,45573.013121081596,243258.6734504292,4.370540370910209,0.20786591293783763
