% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 1 2019, 09:53"
% Table,"Table 3 {tbl3} - Global Evaluation 1 {gev1} (c_in, c_ads, m_ads)"
% dp_bldg (Pa),c_indoor (mol/m^3),c_ads (mol/kg),m_ads (kg),alpha (1),j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s))
-15,1.6442725049923693E-6,2.564738030034722E-6,0.014860859002692099,4.0177779587898554E-6,-1.204899145852216E-10,-2.2068182029121726E-11,9.125562890986898E-9
-14,1.5826241430404195E-6,2.5425773283425883E-6,0.014732453271038073,3.867140257864973E-6,-1.1998051108543886E-10,-2.086965891886163E-11,8.78074434097728E-9
-13,1.5157168355958565E-6,2.518873726706787E-6,0.014595107515783351,3.7036523297286444E-6,-1.1858600540724652E-10,-1.964365757241426E-11,8.407052380479021E-9
-12,1.4428400438150895E-6,2.493342931579102E-6,0.014447174455105802,3.5255779735406846E-6,-1.1618116177765446E-10,-1.8389496367707732E-11,8.000566542528814E-9
-11,1.3632434405931113E-6,2.465629780706345E-6,0.014286596172716938,3.3310837658902935E-6,-1.1261099750277808E-10,-1.7106691068810818E-11,7.556859721053802E-9
-10,1.2763045317938437E-6,2.435286152482421E-6,0.014110776118042682,3.118648643077993E-6,-1.0778329672779925E-10,-1.5795086012119446E-11,7.072851534115393E-9
-9,1.181553803083104E-6,2.401742385605087E-6,0.013916413503169113,2.8871253473727817E-6,-1.0157295016206324E-10,-1.4455048814797569E-11,6.5454766018025975E-9
-8,1.078420729969892E-6,2.3642469167042716E-6,0.013699153545212589,2.6351198028426568E-6,-9.387312405882668E-11,-1.308775688612277E-11,5.97208121627459E-9
-7,9.666337269138526E-7,2.3217728083643046E-6,0.013453045861732429,2.361968390534752E-6,-8.46084220786575E-11,-1.1695660597933867E-11,5.351030294903296E-9
-6,8.463075648617203E-7,2.2728313462459043E-6,0.013169464396721245,2.06795155312429E-6,-7.379020017393013E-11,-1.0283291190813182E-11,4.6831922859174045E-9
-5,7.184454440758655E-7,2.2151480380193024E-6,0.012835230061547154,1.7555206092887837E-6,-6.154399384463037E-11,-8.858825202007168E-12,3.974035261847143E-9
-4,5.854215274426515E-7,2.1452718233766946E-6,0.012430346380919709,1.4304768232873246E-6,-4.820976879812884E-11,-7.43710731931383E-12,3.236574982493743E-9
-3,4.5166089639643707E-7,2.05836745215947E-6,0.01192679646968012,1.1036328764721962E-6,-3.445615171689969E-11,-6.044339351753589E-12,2.4958685723886817E-9
-2,3.2463255080960955E-7,1.948573477713216E-6,0.011290617353340165,7.932392613684367E-7,-2.1379428895515445E-11,-4.722193245500744E-12,1.7928942385109627E-9
-1,2.1408481059423096E-7,1.8114691319867426E-6,0.01049619378000161,5.231159863742866E-7,-1.038119419550477E-11,-3.5302226774333757E-12,1.1822514797925873E-9
0,1.2808226459086017E-7,1.648897530148567E-6,0.009554205310042274,3.129688649676937E-7,-2.49462049376887E-12,-2.5271674056025126E-12,7.073153179334398E-10
1,6.935877526576501E-8,1.470759733946156E-6,0.008522021655644444,1.6947808691403166E-7,2.040932916805939E-12,-1.7478144015023885E-12,3.8313220559565746E-10
2,3.4273835469766355E-8,1.2918426824106493E-6,0.007485322762849313,8.374807721683348E-8,3.885846009548627E-12,-1.1855089601198262E-12,1.8927287744556183E-10
3,1.5681041267106374E-8,1.1253426671645774E-6,0.006520571891009017,3.831660614804629E-8,4.084398301545983E-12,-8.009488456693331E-13,8.654011265260693E-11
4,6.748397578326288E-9,9.78744088742828E-7,0.0056711358946584575,1.648970165530806E-8,3.5406605661297755E-12,-5.450565979498236E-13,3.72369282904416E-11
5,2.767789110570505E-9,8.539917848401484E-7,0.0049482837449074685,6.763089481375431E-9,2.8035302874219777E-12,-3.756175652884873E-13,1.5268406044210296E-11
6,1.0908452991267797E-9,7.496479528090798E-7,0.004343684383313681,2.6654792231665045E-9,2.1210984002839267E-12,-2.624541324796838E-13,6.0165964259505335E-12
7,4.142712635308933E-10,6.628845330517796E-7,0.003840951186977378,1.0122713519327328E-9,1.5705647596844493E-12,-1.8577177470610013E-13,2.2843402766326095E-12
8,1.5371980904734575E-10,5.906463794795221E-7,0.0034223817259718017,3.7561417511063675E-10,1.1530679713451308E-12,-1.330126094811416E-13,8.473689750654386E-13
9,5.5663863623983086E-11,5.301735022029339E-7,0.0030719837936409454,1.3601458620179337E-10,8.459049686365462E-13,-9.617380151332888E-14,3.0676164407710807E-13
10,1.9563577884797463E-11,4.791598974147635E-7,0.0027763957144304554,4.78035798700973E-11,6.225126872535474E-13,-7.011801666997527E-14,1.0778241219840905E-13
11,6.624716827798134E-12,4.357483409345316E-7,0.0025248561761286054,1.6187487884847336E-11,4.603470165372104E-13,-5.14840504435456E-14,3.648483421366489E-14
12,2.128962861200893E-12,3.9847131033106884E-7,0.002308861914979993,5.202118282002667E-12,3.422722838014353E-13,-3.802835562717689E-14,1.1719423982713307E-14
13,6.285124173374638E-13,3.6617802033754404E-7,0.0021217449370638025,1.5357693627650236E-12,2.5584229385605603E-13,-2.8228950753544202E-14,3.4572241603042568E-15
14,1.5646518889438944E-13,3.379667719242838E-7,0.001958280528594098,3.823225075825776E-13,1.9218566586437434E-13,-2.1038749121755527E-14,8.593205523508543E-16
15,2.2223969072227673E-14,3.1312902704849583E-7,0.0018143632082980653,5.4304242650848314E-14,1.4501081914019744E-13,-1.572825666626446E-14,1.2120242971550233E-16
