% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:26"
% Table,Steady-state material sweep {tbl7} - 
% matsw.comp1.sw1,dp_bldg (Pa),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
1,-15,1.5921510935801402E-6,2.5611919290959883E-6,14.840311833568897,3.890419350458656E-6,-1.1310141552525435E-10,-2.2038416157630477E-11,8.825894796062773E-9,1.9544575252117287E-12,4.486610447017626E-13,8.798434534120782E-9,-1.150558730504662E-10,-2.2487077202332162E-11,2.7460261942001373E-11
1,-14,1.5322768301736362E-6,2.539200159525441E-6,14.712884945138043,3.744116657271825E-6,-1.1251679454021881E-10,-2.0835908640856146E-11,8.492373284624788E-9,-1.7995059774333244E-12,2.4079662898755744E-13,8.46770765150797E-9,-1.107172885627855E-10,-2.107670526984368E-11,2.4665633116812556E-11
1,-13,1.4673307926066348E-6,2.5156344968952777E-6,14.576338449725752,3.5854210898064768E-6,-1.1112605669407746E-10,-1.9606324057325124E-11,8.130848853198976E-9,-5.337719269945567E-12,3.330108327189921E-14,8.108915943983059E-9,-1.0578833742413172E-10,-1.9639625140597003E-11,2.1932909215940305E-11
1,-12,1.3967018489297026E-6,2.490213475049218E-6,14.429041448264151,3.412839347852996E-6,-1.0882150496200067E-10,-1.8349086812576996E-11,7.738114082633802E-9,-8.586819531057073E-12,-1.733297486754765E-13,7.718842930877604E-9,-1.0023468543094392E-10,-1.817575706390151E-11,1.9271151756169574E-11
1,-11,1.31978229701741E-6,2.4625829258808483E-6,14.268941784848417,3.224886511972774E-6,-1.054838674735491E-10,-1.7063771852519784E-11,7.310756050041065E-9,-1.1463158427059982E-11,-3.7849814475383355E-13,7.294063773878903E-9,-9.402070904648908E-11,-1.6685273707765987E-11,1.6692276162149244E-11
1,-10,1.2359924171074061E-6,2.4322969602502537E-6,14.093455844481026,3.020146037598899E-6,-1.0099917962986877E-10,-1.575032650908775E-11,6.8454242645008226E-9,-1.3895211283438568E-11,-5.815182099808693E-13,6.831212950220017E-9,-8.710396834643007E-11,-1.5168808299106837E-11,1.4211314280786012E-11
1,-9,1.144787032123604E-6,2.398790189949765E-6,13.899307598835678,2.7972857851782914E-6,-9.526347294663818E-11,-1.4409255049832908E-11,6.339027593713709E-9,-1.5815863671051907E-11,-7.816794723212073E-13,6.3271812723910265E-9,-7.944760927558616E-11,-1.3627575577511729E-11,1.184632132269218E-11
1,-8,1.045695192765942E-6,2.3613250865607272E-6,13.68222358773368,2.5551549906424975E-6,-8.815679038701809E-11,-1.3041915456716972E-11,5.788927831697205E-9,-1.712104038336779E-11,-9.78424055263212E-13,5.779309289459206E-9,-7.103575000365041E-11,-1.2063491401453755E-11,9.618542238014733E-12
1,-7,9.383943967575967E-7,2.3188950316793914E-6,13.43637116316481,2.292965620052173E-6,-7.959791529836001E-11,-1.1650964535049207E-11,5.193354765278951E-9,-1.7704928576513644E-11,-1.1717016540529284E-12,5.185802183019578E-9,-6.189298672184637E-11,-1.0479262880996262E-11,7.55258225937241E-12
1,-6,8.230124131940374E-7,2.2700425808006187E-6,13.15330545589039,2.011029877043883E-6,-6.958346622392718E-11,-1.0241162592132235E-11,4.553016664042957E-9,-1.74775343066849E-11,-1.3625281324297722E-12,4.547339028455145E-9,-5.210593191724241E-11,-8.87863445970246E-12,5.677635587810923E-12
