% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
0,7.004920290396708E-7,2.2125616930612172E-6,12.820244005542868,1.7116514604716501E-6,-5.824147283081493E-11,-8.820977000794402E-12,3.873193998739372E-9,-1.639020184496126E-11,-1.5536301003031528E-12,3.86916700510635E-9,-4.185127098585384E-11,-7.267346900491275E-12,4.026993633022645E-12
0.01,7.00378719529747E-7,2.212561693069837E-6,12.820244005592812,1.7113745888155737E-6,-5.820610570973766E-11,-8.812794136489651E-12,3.872522825167396E-9,-1.6354141238833092E-11,-1.5536285395087074E-12,3.868496631986032E-9,-4.1851964470904545E-11,-7.259165596980974E-12,4.026193181367857E-12
0.02,7.00366419234508E-7,2.2125616930414598E-6,12.820244005428385,1.7113445330584242E-6,-5.82022819793538E-11,-8.80070508448896E-12,3.872475311628204E-9,-1.6349064397131296E-11,-1.5536298716773423E-12,3.8684495351264006E-9,-4.1853217582222414E-11,-7.247075212811612E-12,4.025776501802358E-12
0.04,7.00335284910517E-7,2.212561692877375E-6,12.82024400447763,1.7112684563738653E-6,-5.820987231752164E-11,-8.781267504911232E-12,3.872607787062645E-9,-1.6353264870093128E-11,-1.5536348890181282E-12,3.868583222105933E-9,-4.1856607447428466E-11,-7.227632615893143E-12,4.0245649567278965E-12
0.08,7.00355982271585E-7,2.2125616916879177E-6,12.820243997585557,1.7113190303516273E-6,-5.821712808591883E-11,-8.769033328664731E-12,3.872445140504668E-9,-1.6352941243990284E-11,-1.5536356012577917E-12,3.8684225640846294E-9,-4.1864186841928536E-11,-7.2153977274069595E-12,4.022576420039889E-12
0.16,7.003059174407954E-7,2.2125616874984406E-6,12.820243973310475,1.7111966969956653E-6,-5.823334409322501E-11,-8.763107354743152E-12,3.872186945169408E-9,-1.6356925550252632E-11,-1.553630891980577E-12,3.8681671998958834E-9,-4.187641854297233E-11,-7.209476462762561E-12,4.019745273530901E-12
0.26,7.002392891574952E-7,2.2125616807649408E-6,12.820243934294563,1.7110338908626994E-6,-5.824444853818515E-11,-8.761416348448606E-12,3.8717868259625315E-9,-1.635732086021202E-11,-1.5536258517882588E-12,3.867769134449476E-9,-4.188712767797323E-11,-7.207790496660356E-12,4.017691513053094E-12
0.36,7.001691383157691E-7,2.212561673241721E-6,12.820243890702779,1.7108624773623121E-6,-5.824951701209105E-11,-8.76134683281634E-12,3.871423773194048E-9,-1.6356002474492656E-11,-1.553624929712582E-12,3.867407277762849E-9,-4.1893514537598364E-11,-7.2077219031037434E-12,4.016495431207921E-12
0.46,7.001153172183788E-7,2.212561665410005E-6,12.820243845323473,1.710730965573264E-6,-5.824910092856747E-11,-8.76243733080138E-12,3.871077085168016E-9,-1.6352254207783397E-11,-1.553625996793552E-12,3.867061206043878E-9,-4.189684672078415E-11,-7.208811334007826E-12,4.015879124145021E-12
0.56,7.000670370747751E-7,2.2125616575459965E-6,12.820243799757057,1.7106129930983704E-6,-5.824830560288239E-11,-8.763919894052434E-12,3.870851715831811E-9,-1.6350117057747705E-11,-1.5536285664562757E-12,3.8668361502484775E-9,-4.189818854513462E-11,-7.21029132759614E-12,4.015565583332828E-12
