% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 19 2019, 10:39"
% Table,shuai_isotherm_good_mesh {tbl8} - 
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg)
0,-5,2.840012769337801E-4,1.3981443448999202,0.0019364696049452297,0.07659882583971249,4.5635087867337313E-10
0.072,-5,2.842825974019767E-4,1.399529291566218,0.0019383404678349847,0.07659882578892906,4.5635087837082185E-10
0.144,-5,2.844774687659365E-4,1.4004886474481522,0.0019397094271251813,0.07659882570324535,4.5635087786034594E-10
0.288,-5,2.8474680584441117E-4,1.4018145996312088,0.0019416175461495308,0.07659882547911442,4.563508765250462E-10
0.576,-5,2.849902617123026E-4,1.4030131380624444,0.0019432923965839834,0.07659882488031307,4.563508729575835E-10
0.8722271805113643,-5.000294940042628,2.850663591139773E-4,1.4033877671942632,0.0019437956875426419,0.07659882415907905,4.563508686607055E-10
1.0468146811261647,-5.0111552239782045,2.850867396940415E-4,1.4034881012246951,0.0019439528406237716,0.07659882384547104,4.563508667923314E-10
1.2214021817409653,-5.052552855189387,2.8514362314444107E-4,1.4037681396644976,0.001944431919631991,0.07659882409187084,4.563508682603022E-10
1.3785309322942856,-5.1292653943921165,2.852565623935449E-4,1.4043241419971513,0.0019453033673079848,0.07659882533746941,4.563508756811725E-10
1.5356596828476061,-5.252351247096702,2.854519567896403E-4,1.4052860727774468,0.0019468932011441932,0.07659882829315326,4.5635089329017465E-10
1.6927884334009267,-5.427705758833306,2.8575392918077586E-4,1.4067726893009374,0.0019492468054376948,0.07659883370475813,4.5635092553075596E-10
1.8499171839542472,-5.6587463541017256,2.8618024086673826E-4,1.4088714308253707,0.001952548056964292,0.07659884239754224,4.5635097731953467E-10
2.0070459345075675,-5.946633215245926,2.8674383446622887E-4,1.4116460141387175,0.001956869165850853,0.07659885522268307,4.563510537275498E-10
2.321303435614209,-6.687624327005524,2.883509981565206E-4,1.4195581152713959,0.001969003447953101,0.07659889761645729,4.5635130629586265E-10
2.63556093672085,-7.623201506979127,2.9056738713677965E-4,1.4304694455030913,0.001985864625393857,0.07659896625474592,4.5635171522045105E-10
2.898171875857821,-8.5188959988712,2.928640687262992E-4,1.4417760579630463,0.0020028807655685502,0.07659904677282761,4.563521949209796E-10
3.1331802615073077,-9.376280459090786,2.952034031014421E-4,1.4532926509965296,0.002020326992458263,0.07659913849204186,4.563527413542131E-10
3.344687808591846,-10.167543589015423,2.9748846233637307E-4,1.464542046356907,0.0020373095054317825,0.076599237627388,4.563533319703461E-10
3.556195355676384,-10.95402751355872,2.9989690602638474E-4,1.4763988660217877,0.0020552801910931123,0.0765993526480746,4.563540172261679E-10
3.69174186206789,-11.445162169704926,3.0149183133484594E-4,1.484250717339635,0.00206689794211016,0.07659943770145351,4.563545239465232E-10
3.8272883684593952,-11.919472554203749,3.0309243332771744E-4,1.4921305150959339,0.002078796871607286,0.07659952880680551,4.563550667225639E-10
3.962834874850901,-12.371600724302326,3.0469976702361483E-4,1.500043453169836,0.002090507679945179,0.0765996256415514,4.5635564363246924E-10
4.098381381242407,-12.796598831780877,3.0629655695353213E-4,1.5079044840588889,0.002102164192739304,0.07659972611712389,4.5635624223323593E-10
4.233927887633913,-13.190034543220973,3.078689489991844E-4,1.5156454036432292,0.002113668387200255,0.07659983113757199,4.5635686791089077E-10
4.369474394025418,-13.548096460273792,3.0940090577291743E-4,1.5231872595213116,0.0021248400301488246,0.07659994041134495,4.563575189284712E-10
4.505020900416924,-13.867699539928363,3.1087863668728037E-4,1.5304621603369235,0.0021355390439268605,0.07660005370201334,4.5635819387740847E-10
4.776113913199936,-14.383453313297746,3.1360392855135893E-4,1.5438788303220083,0.0021551104384988514,0.07660028991016402,4.563596011287071E-10
5.047206925982947,-14.731148596192323,3.159598390927481E-4,1.5554770281755392,0.002171931162138452,0.0766005362590754,4.56361068795357E-10
5.318299938765958,-14.92300670404938,3.179018482889678E-4,1.5650375808771078,0.002185750829697258,0.07660078872401362,4.563625728993062E-10
5.5893929515489695,-14.992990983464507,3.1944745429507085E-4,1.5726466322173247,0.002196570403207333,0.0766010436498891,4.5636409166471777E-10
5.860485964331981,-15,3.206818411782134E-4,1.5787235451760182,0.002205204983628768,0.07660129871730674,4.563656112733926E-10
6.095712343588486,-15,3.216094346528454E-4,1.5832901076398382,0.0022111408221921094,0.07660151939951237,4.5636692602616113E-10
6.330938722844991,-15,3.224535764242964E-4,1.5874458355886365,0.002217043590541929,0.07660173957389456,4.5636823775348464E-10
6.566165102101496,-15,3.232273303048352E-4,1.5912550424488996,0.0022222542465080365,0.07660195909496517,4.5636954558859064E-10
